"icn52";"siose"
255;101
255;111
255;811
95;812
95;112
245;821
245;822
245;823
245;892
245;894
245;911
245;913
235;841
235;842
235;843
235;851
235;852
235;853
235;854
235;856
235;857
235;922
255;104
255;881
245;813
245;882
255;883
95;884
265;131
265;833
275;921
95;121
85;102
85;844
85;860
285;859
85;858
125;212
125;211
65;231
65;702
65;222
75;222
75;223
75;703
75;241
65;232
135;831
305;242
75;243
325;244
135;704
125;243
195;243
35;313
35;312
35;316
355;300
355;320
45;320
25;320
45;320
45;320
385;331
5;336
105;351
105;352
105;353
95;333
5;334
105;411
395;421
115;422
115;413
295;511
295;912
295;513
295;103
295;514
295;521
